"Dataset","Threshold","NetBenefit_Model","NetBenefit_All","NetBenefit_None"
"ICGC-LIRI-JP (HCCDB18)",0.12,0.274944567627494,0.279379157427938,0
"ICGC-LIRI-JP (HCCDB18)",0.13,0.260022427810485,0.271096159237454,0
"ICGC-LIRI-JP (HCCDB18)",0.14,0.255813953488372,0.262620533182076,0
"ICGC-LIRI-JP (HCCDB18)",0.15,0.239598278335725,0.253945480631277,0
"ICGC-LIRI-JP (HCCDB18)",0.16,0.238095238095238,0.245063879210221,0
"ICGC-LIRI-JP (HCCDB18)",0.17,0.23964149280047,0.235968263297091,0
"ICGC-LIRI-JP (HCCDB18)",0.18,0.234086853063653,0.226650803093397,0
"ICGC-LIRI-JP (HCCDB18)",0.19,0.236976814212587,0.217103282143933,0
"ICGC-LIRI-JP (HCCDB18)",0.2,0.231707317073171,0.207317073170732,0
"ICGC-LIRI-JP (HCCDB18)",0.21,0.226304414942884,0.197283112071627,0
"ICGC-LIRI-JP (HCCDB18)",0.22,0.212007504690432,0.186991869918699,0
"ICGC-LIRI-JP (HCCDB18)",0.23,0.206525182134938,0.176433322774786,0
"ICGC-LIRI-JP (HCCDB18)",0.24,0.180359435173299,0.165596919127086,0
"ICGC-LIRI-JP (HCCDB18)",0.25,0.178861788617886,0.154471544715447,0
"ICGC-LIRI-JP (HCCDB18)",0.26,0.173368490441661,0.143045484508899,0
"ICGC-LIRI-JP (HCCDB18)",0.27,0.164550618108921,0.131306381556966,0
"ICGC-LIRI-JP (HCCDB18)",0.28,0.16869918699187,0.119241192411924,0
"ICGC-LIRI-JP (HCCDB18)",0.29,0.161456544142906,0.106836138783923,0
"ICGC-LIRI-JP (HCCDB18)",0.3,0.144599303135888,0.0940766550522648,0
"ICGC-LIRI-JP (HCCDB18)",0.31,0.145281018027572,0.0809473312124425,0
"ICGC-LIRI-JP (HCCDB18)",0.32,0.140602582496413,0.0674318507890961,0
"ICGC-LIRI-JP (HCCDB18)",0.33,0.13578449217328,0.0535129231889333,0
"ICGC-LIRI-JP (HCCDB18)",0.34,0.112712490761271,0.0391722099039171,0
"ICGC-LIRI-JP (HCCDB18)",0.35,0.114446529080675,0.0243902439024389,0
"ICGC-LIRI-JP (HCCDB18)",0.36,0.123475609756098,0.00914634146341453,0
"ICGC-LIRI-JP (HCCDB18)",0.37,0.119241192411924,-0.0065814943863724,0
"ICGC-LIRI-JP (HCCDB18)",0.38,0.114870180959874,-0.0228166797797011,0
"ICGC-LIRI-JP (HCCDB18)",0.39,0.118152738904438,-0.0395841663334667,0
"ICGC-LIRI-JP (HCCDB18)",0.4,0.117886178861789,-0.0569105691056911,0
"ICGC-LIRI-JP (HCCDB18)",0.41,0.122571310458867,-0.0748243075651096,0
"ICGC-LIRI-JP (HCCDB18)",0.42,0.127838519764508,-0.0933557611438184,0
"ICGC-LIRI-JP (HCCDB18)",0.43,0.124518613607189,-0.112537441163885,0
"ICGC-LIRI-JP (HCCDB18)",0.44,0.121080139372822,-0.132404181184669,0
"ICGC-LIRI-JP (HCCDB18)",0.45,0.117516629711752,-0.152993348115299,0
"ICGC-LIRI-JP (HCCDB18)",0.46,0.113821138211382,-0.174345076784101,0
"ICGC-LIRI-JP (HCCDB18)",0.47,0.12080073630925,-0.196502531063046,0
"ICGC-LIRI-JP (HCCDB18)",0.48,0.105065666041276,-0.219512195121951,0
"ICGC-LIRI-JP (HCCDB18)",0.49,0.101386896221903,-0.243424198947872,0
"ICGC-LIRI-JP (HCCDB18)",0.5,0.0853658536585366,-0.268292682926829,0
"ICGC-LIRI-JP (HCCDB18)",0.51,0.0691886510701842,-0.294176207068193,0
"ICGC-LIRI-JP (HCCDB18)",0.52,0.0782520325203252,-0.321138211382114,0
"ICGC-LIRI-JP (HCCDB18)",0.53,0.0622729631551635,-0.349247535028542,0
"ICGC-LIRI-JP (HCCDB18)",0.54,0.0583244962884411,-0.378579003181336,0
"ICGC-LIRI-JP (HCCDB18)",0.55,0.0420054200542005,-0.409214092140922,0
"ICGC-LIRI-JP (HCCDB18)",0.56,0.0376940133037694,-0.441241685144124,0
"ICGC-LIRI-JP (HCCDB18)",0.57,0.020986954055587,-0.474758933635848,0
"ICGC-LIRI-JP (HCCDB18)",0.58,0.016260162601626,-0.509872241579559,0
"ICGC-LIRI-JP (HCCDB18)",0.59,0.0288518738845925,-0.546698393813206,0
"ICGC-LIRI-JP (HCCDB18)",0.6,0.0304878048780488,-0.585365853658537,0
